X1,Y1,X2,Y2,X3,Y3,X4,Y4,,,,,,X1_sn19
30502540.96,2.77E-08,212095088.8,4.95E-06,1.53E+11,2.04E-03,129298633.8,2.49E-07,,,,,,
40833626.71,1.31E-06,212095088.8,4.59E-06,1.53E+11,2.28E-03,157582648.5,0.07544454,,,,,,
58799058.67,5.08E-08,212095088.8,4.42E-06,1.53E+11,2.28E-03,169962010.7,0.017847194,,,,,,
73178217.21,7.13E-07,212095088.8,4.42E-06,1.53E+11,2.46E-03,169962010.7,0.000344125,,,,,,
91814699.89,1.03E-07,212095088.8,4.26E-06,1.53E+11,2.87E-03,193488404.1,0.012062728,,,,,,
113959540.5,3.95E-07,212095088.8,3.66E-06,1.47E+11,2.98E-03,193488404.1,0.000485764,,,,,,
115197383,2.05E-07,212095088.8,3.66E-06,1.47E+11,2.98E-03,250761643.3,0.002708348,,,,,,
,,203950046.9,3.03E-06,1.47E+11,3.21E-03,294876362.2,0.001701467,,,,,,
,,203950046.9,2.50E-06,1.47E+11,3.46E-03,276368422.1,0.000378047,,,,,,
,,203950046.9,2.00E-06,1.47E+11,3.88E-03,346751871,0.001097196,,,,,,
,,196117797.3,1.65E-06,1.47E+11,4.03E-03,394749779,0.000723222,,,,,,
,,196117797.3,1.47E-06,1.47E+11,4.35E-03,425760493.1,0.000444028,,,,,,
,,196117797.3,1.22E-06,1.47E+11,4.69E-03,68129206.91,2.50476E-06,,,,,,
,,196117797.3,1.05E-06,1.47E+11,4.87E-03,86173582.78,1.78144E-06,,,,,,
,,196117797.3,8.35E-07,1.47E+11,4.87E-03,108997105.7,1.36667E-06,,,,,,
,,212095088.8,7.18E-07,1.47E+11,5.25E-03,127480035.8,1.77E-07,,,,,,
,,220565414.8,6.66E-07,1.53E+11,5.89E-03,2856158.555,7.40E-08,,,,,,
,,257967280.8,5.72E-07,1.53E+11,5.89E-03,,,,,,,,
,,278983315.5,5.51E-07,1.53E+11,0.006348515,,,,,,,,
,,339322177.2,6.17E-07,1.59E+11,0.007112202,,,,,,,,
,,366966018.9,7.18E-07,1.59E+11,0.007671708,,,,,,,,
,,366966018.9,7.46E-07,1.59E+11,0.008926229,,,,,,,,
,,366966018.9,8.35E-07,1.59E+11,0.009628442,,,,,,,,
,,381621340.8,9.72E-07,1.59E+11,0.01,,,,,,,,
,,381621340.8,1.01E-06,1.59E+11,0.011202939,,,,,,,,
,,381621340.8,1.17E-06,1.59E+11,0.011635256,,,,,,,,
,,396861944.3,1.27E-06,1.59E+11,0.012084257,,,,,,,,
,,396861944.3,1.32E-06,1.65E+11,0.012084257,,,,,,,,
